Date,Issuer,Symbol,Lead/Joint-Lead Managers,Offer Price,Opening Price,1st Day Close,1st Day % Px Chng,$ Chg Opening,$ Chg Close,Star Ratings,Performed,$ Chg Open to Close,% Chg Open to Close,SP Week Change,SP Close to Open Chg Pct,Lead Mgr,Total Underwriters,Week Day,Month,Gap Open Pct,Open to Close Pct
2004-04-06,Arbor Realty Trust ,ABR,Wachovia Securities/UBS Investment Bank,20.0,20.05,20.5,2.5,0.05,0.5,1,,0.45,2.244389027431421,4.172057367400861,0.0,Wachovia,2,Tues,Apr,0.24937655860349126,2.2443890274314215
2004-04-13,Corcept Therapeutics ,CORT,Thomas Weisel Partners/Piper Jaffray,12.0,12.25,12.23,1.92,0.25,0.23,1,,-0.01999999999999999,-0.1632653061224489,3.1916164532097597,0.0,Thomas Weisel Partners,2,Tues,Apr,2.0408163265306123,-0.1632653061224489
2004-04-16,Immunicon,IMMC,UBS Investment Bank,8.0,8.53,9.5,18.75,0.53,1.5,2,,0.97,11.371629542790153,3.437091577462386,0.0,UBS Investment Bank,1,Fri,Apr,6.213364595545136,11.371629542790153
2004-04-20,ProCentury ,PROS,Friedman Billings Ramsey,10.5,10.65,10.5,0.0,0.15,0.0,2,Missed,-0.15,-1.4084507042253518,2.5052691661003337,0.0,Friedman Billings Ramsey,1,Tues,Apr,1.408450704225352,-1.408450704225352
2004-04-20,Gander Mountain ,GMTN,Banc of America/William Blair,16.0,20.0,22.02,37.63,4.0,6.02,2,,2.02,10.099999999999998,2.5052691661003337,0.0,Banc of America,2,Tues,Apr,20.0,10.099999999999998
2004-04-21,SiRF Technology Holdings ,SIRF,Morgan Stanley/Credit Suisse First Boston,12.0,14.45,15.3,27.5,2.45,3.3,3,,0.8499999999999996,5.882352941176468,-0.38486080800463185,0.0,Morgan Stanley,2,Wed,Apr,16.955017301038065,5.882352941176468
2004-04-22,Assured Guaranty,AGO,Banc of America/Goldman Sachs,18.0,18.22,18.0,0.0,0.22,0.0,2,Missed,-0.22,-1.2074643249176729,-0.25821064773735547,0.0,Banc of America,2,Thurs,Apr,1.2074643249176729,-1.2074643249176729
2004-04-28,Barrier Therapeutics ,BTRX,Morgan Stanley,15.0,15.0,14.6,-2.67,0.0,-0.4,2,Missed,-0.4,-2.666666666666667,-1.0829381597631285,0.0,Morgan Stanley,1,Wed,Apr,0.0,-2.666666666666667
2004-04-29,Intersections ,INTX,Deutsche Bank/Lazard,17.0,21.01,24.7,45.29,4.01,7.7,3,,3.69,17.563065207044264,-2.2427187184256234,0.0,Deutsche Bank,2,Thurs,Apr,19.086149452641596,17.563065207044264
2004-04-29,Cytokinetics ,CYTK,Goldman Sachs,13.0,15.0,16.1,23.85,2.0,3.1,2,,1.1,7.333333333333332,-2.2427187184256234,0.0,Goldman Sachs,1,Thurs,Apr,13.333333333333334,7.333333333333333
2004-05-05,Origen Financial ,ORGN,Lehman Brothers,8.0,8.0,8.0,0.0,0.0,0.0,1,,0.0,0.0,-0.8756456754348255,0.0,Lehman Brothers,1,Wed,May,0.0,0.0
2004-05-05,Greenhill ,GHL,Goldman Sachs,17.5,19.06,20.5,17.14,1.56,3.0,4,,1.44,7.555089192025183,-0.8756456754348255,0.0,Goldman Sachs,1,Wed,May,8.184679958027283,7.555089192025184
2004-05-06,InfraSource Services ,IFS,Lehman Brothers,13.0,13.0,12.65,-2.69,0.0,-0.35,1,,-0.35,-2.692307692307692,-0.5885650869134359,0.0,Lehman Brothers,1,Thurs,May,0.0,-2.692307692307692
2004-05-10,Atlas America,ATLS,Friedman Billings Ramsey/Key Banc Capital Markets,15.5,15.5,18.14,17.03,0.0,2.64,3,,2.64,17.032258064516128,-3.1649672111778564,0.0,Friedman Billings Ramsey,2,Mon,May,0.0,17.032258064516128
2004-05-11,Shanda Interactive Entertainment,SNDA,Goldman Sachs,11.0,11.3,11.97,8.82,0.3,0.97,2,,0.6699999999999999,5.929203539823008,-4.2876471021226505,0.0,Goldman Sachs,1,Tues,May,2.654867256637168,5.929203539823008
